# strain sxx_GPa syy_GPa szz_GPa
2.58000000e-02 3.29755936e-01 1.95888374e-02 5.88414673e-03
2.60000000e-02 3.23131553e-01 -9.46230600e-03 2.33587308e-02
2.62000000e-02 3.53447681e-01 6.40043247e-02 1.59091339e-02
2.64000000e-02 3.37370834e-01 6.01451270e-03 3.82117769e-02
2.66000000e-02 2.86340312e-01 -1.39619278e-02 -4.58610451e-03
2.68000000e-02 2.90950602e-01 -2.18252487e-02 -1.98796322e-03
2.70000000e-02 3.04022127e-01 -2.09761613e-02 -1.05770307e-02
2.72000000e-02 3.41151245e-01 -7.41092152e-03 1.85590339e-03
2.74000000e-02 3.40585340e-01 1.03526538e-02 -9.20568416e-03
2.76000000e-02 3.11625142e-01 1.26036513e-02 -9.97992121e-03
2.78000000e-02 3.15629099e-01 -1.28965687e-02 -2.95376448e-03
2.80000000e-02 3.46993677e-01 -4.57822205e-03 1.05380414e-02
2.82000000e-02 3.68313565e-01 3.65774280e-02 2.66775772e-02
2.84000000e-02 3.56510615e-01 2.33381493e-02 4.50438441e-02
2.86000000e-02 3.67424329e-01 7.26786216e-03 -2.38179445e-03
2.88000000e-02 3.06902739e-01 1.78621142e-02 -5.79160108e-03
2.90000000e-02 3.11824838e-01 -8.87968833e-03 8.98226839e-03
2.92000000e-02 3.06402165e-01 -1.33939004e-02 -9.98938543e-03
2.94000000e-02 2.77306332e-01 -8.11261223e-03 -5.19616969e-03
2.96000000e-02 3.06378807e-01 3.46112220e-02 4.81850192e-02
2.98000000e-02 2.84381602e-01 2.89198157e-02 -1.18985313e-02
3.00000000e-02 2.70072993e-01 -1.58581553e-02 -8.62117015e-03
3.02000000e-02 3.32071446e-01 1.62459782e-02 8.34943304e-03
